"periodo","IPC.INDEC","IPC.San.Luis","anio","mes","coeficiente.confusion","IPC.INDEC.acumulado.anual","IPC.San.Luis.acumulado.anual","coeficiente.confusion.acumulado.anual"
2012-07-01,161.133475182237,311.475023562677,"2012","07",3.45923445268368,5.88929018943026,14.5593205650403,2.47216898755821
2012-08-01,162.569162556825,314.655984919887,"2012","08",3.43069934370528,6.83275595194222,15.7292659675882,2.30203831048833
2012-09-01,164.004849931412,319.604147031103,"2012","09",3.43105479141707,7.77622171445418,17.5491810382182,2.2567747786304
2012-10-01,165.38445576793,324.379516179705,"2012","10",3.43169509548413,8.68283334561804,19.3055435190802,2.22341518610663
2012-11-01,166.932306218657,330.537229029218,"2012","11",3.44433416467211,9.7000073708263,21.5703267180865,2.22374333270728
2012-12-01,168.670833898822,334.440779139177,"2012","12",3.41397891693868,10.8424854426181,23.0060374960279,2.12184167714895
2013-01-01,170.58882250081,340.017279296261,"2013","01",3.40021650444029,1.13711929777898,1.66741034733803,1.46634601188707
2013-02-01,171.430045571858,348.539114043355,"2013","02",3.47947578716477,1.63585583189254,4.21549517390388,2.57693562703928
2013-03-01,172.675055717008,357.170907948476,"2013","03",3.53864067129007,2.37398590238062,6.79645851436088,2.86288916355628
2013-04-01,173.931282169772,363.006597549482,"2013","04",3.55744672391216,3.11876579332358,8.54136821587095,2.73870139083726
2013-05-01,175.131427084467,369.941878730757,"2013","05",3.5929289407384,3.83029658199227,10.6150630562927,2.77134233056476
2013-06-01,176.589547074282,378.620797989318,"2013","06",3.63784365664274,4.69477324112249,13.2101171884174,2.8137923835612
2013-07-01,178.227127985921,387.189758089852,"2013","07",3.67122973173115,5.66564702753027,15.7722928066509,2.78384670453539
2013-08-01,179.718896898579,394.541313226516,"2013","08",3.69474898280695,6.55007314802498,17.9704563068035,2.7435504765656
2013-09-01,181.210665811236,402.042098649073,"2013","09",3.71924174776662,7.43449926851973,20.213240647237,2.71884358544858
2013-10-01,182.825814107647,415.496387056236,"2013","10",3.8091552791282,8.39207341401782,24.2361616683497,2.8879825607658
2013-11-01,184.519476557356,427.364121897581,"2013","11",3.87323887027893,9.39619630269983,27.7846927033184,2.9570149247877
2013-12-01,187.13287623141,441.273955387999,"2013","12",3.91670710469413,10.9456044686793,31.9438247105517,2.91841577155089
2014-01-01,193.960549765831,459.739239710965,"2014","01",3.82861999645072,3.64856976065381,4.18453980741505,1.14689867041632
2014-02-01,200.586785333538,492.711278667923,"2014","02",3.90420349318972,7.18949517213126,11.6565509139775,1.62133093282571
2014-03-01,205.78142679711,512.401822180333,"2014","03",3.89862223139912,9.96540583421542,16.1187547834754,1.61747098428575
2014-04-01,209.46266877917,522.9657555765,"2014","04",3.86401830225602,11.9325866183695,18.5127173700229,1.55144211075943
2014-05-01,212.469016397851,536.31793905121,"2014","05",3.87945011902447,13.5391175920954,21.5385436875923,1.59083806910483
2014-06-01,215.229947884396,545.970782280867,"2014","06",3.87026802032651,15.014503180211,23.7260381254116,1.58020800559571
2014-07-01,218.297649536112,556.715362865222,"2014","07",3.86073066249557,16.6538205003394,26.160938362138,1.57086707891471
2014-08-01,221.20174043307,570.711592836946,"2014","08",3.88370324679359,18.2057075633943,29.3327163020842,1.61118243825154
2014-09-01,224.248990740441,588.367891925856,"2014","09",3.93055822035664,19.8340961013886,33.3339266326113,1.68063754769634
2014-10-01,227.03037357133,595.750863964813,"2014","10",3.90261675241346,21.3204104716384,35.0070305964437,1.64194918493769
2014-11-01,229.586791614427,604.453345900094,"2014","11",3.89278366734356,22.6865082384121,36.9791573963654,1.63000656635883
2014-12-01,231.877342181041,613.407163053723,"2014","12",3.89306574247543,23.9105318374413,39.0082409269708,1.63142506374066
